BATCH,HQ,HK,N_CTX_Q,N_CTX_K,TFLOPS
16.000000,16.000000,16.000000,1024.000000,1024.000000,298.175498
8.000000,16.000000,16.000000,2048.000000,2048.000000,370.308370
4.000000,16.000000,16.000000,4096.000000,4096.000000,394.931991
2.000000,16.000000,16.000000,8192.000000,8192.000000,402.078362
1.000000,16.000000,16.000000,16384.000000,16384.000000,395.433005
2.000000,48.000000,48.000000,1024.000000,1024.000000,270.861474
2.000000,48.000000,48.000000,2048.000000,1024.000000,321.560018
2.000000,48.000000,48.000000,4096.000000,8192.000000,379.802458
2.000000,48.000000,48.000000,8192.000000,4096.000000,400.120648
2.000000,48.000000,48.000000,16384.000000,8192.000000,412.057648
8.000000,16.000000,16.000000,1989.000000,15344.000000,280.407422
4.000000,16.000000,16.000000,4097.000000,163.000000,144.688208
2.000000,16.000000,16.000000,8122.000000,2159.000000,275.137112
1.000000,16.000000,16.000000,16281.000000,7.000000,7.544952
2.000000,48.000000,48.000000,1021.000000,1020.000000,228.446235
2.000000,48.000000,48.000000,2001.000000,2048.000000,337.117269
2.000000,48.000000,48.000000,3996.000000,9639.000000,279.095877
2.000000,48.000000,48.000000,8181.000000,1021.000000,269.620499
